Year,Oil High,Oil low,AEO2013 Ref
2015,131.658737,73.621796,97.145538
2016,139.123962,70,93.43969
2017,144.042725,69,91.836884
2018,146.427399,68.800003,92.495903
2019,148.260635,68.699997,94.37606
2020,150.284851,68.900002,96.566772
2021,151.681854,69.199997,99.053299
2022,153.122025,69.5,101.571045
2023,155.064392,69.800003,104.215752
2024,156.871613,70.099998,106.68821
2025,158.623398,70.400002,108.988052
2026,161.105606,70.699997,110.920845
2027,163.79982,71,113.348221
2028,167.3228,71.300003,115.313896
2029,170.636887,71.599998,117.3424
2030,173.692627,71.900002,118.993767
2031,176.831604,72.199997,121.067307
2032,180.164642,72.5,123.396637
2033,182.804977,72.800003,125.632835
2034,185.088074,73.099998,127.705498
2035,187.922791,73.400002,129.765854
2036,190.912415,73.699997,131.605621
2037,193.554123,74,133.752213
2038,196.368591,74.300003,135.774567
2039,199.880844,74.599998,138.460205
2040,204.240219,74.900002,141.456161
